title,author,price,publisher,page_count,generes,ISBN
A Trace of Vice (a Keri Locke Mystery--Book #3),Blake Pierce,18.72,Blake Pierce,250,General,9.78178E+12
Antiques Chop,Barbara Allan,29.9,Kensington Books,240,"Fiction , Mystery , Detective , Private Investigators",9.78178E+12
"Goals!: How to Get Everything You Want -- Faster Than You Ever Thought Possible, Edition 2",Brian Tracy,86.45,Berrett-Koehler Publishers,288,General,9.78178E+12
Principles: Life and Work,Ray Dalio,59.03,Simon and Schuster,592,"Business , Economics , General",9.78178E+12
Ask A Footballer,James Milner,98.42,Hachette UK,320,"Sports , Recreation , Soccer",9.78178E+12
Young Justice Vol. 1,Art Baltazar,39.34,DC,164,"Comics , Graphic Novels , Superheroes",9.78178E+12
10 Ways to be less consumerist,James Fries,4.43,EDITORA BIBLIOMUNDI SERVIÇOS DIGITAIS LTDA,15,General,9.78178E+12
'Salem's Lot,Stephen King,55.1,Hachette UK,300,"Fiction , Thrillers , Supernatural",9.78178E+12
Management (The Brian Tracy Success Library),Brian Tracy,38.44,AMACOM,112,General,9.78179E+12
Strawberry Shortcake Murder,Joanne Fluke,43.36,Kensington Books,304,General,9.78179E+12
Batman and Robin Vol. 1: Batman Reborn,Grant Morrison,59.03,DC,172,General,9.78179E+12
Killer Blonde,Laura Levine,73.67,Kensington Books,288,"Fiction , Mystery , Detective , Amateur Sleuth",9.78179E+12
The Black Box,Michael Connelly,43.28,Hachette UK,448,General,9.78179E+12
Legacy,Shannon Messenger,43.28,Simon and Schuster,816,"Juvenile Fiction , Fantasy , Magic",9.78179E+12
Gangster: A Novel,Lorenzo Carcaterra,31.46,Ballantine Books,384,"Fiction , Mystery , Detective , Hard-Boiled",9.78179E+12
On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,33.38,Tim Duggan Books,128,"History , Modern , 20th Century",9.78179E+12
A Crown of Swords: Book Seven of 'The Wheel of Time',Robert Jordan,33.42,Macmillan,688,General,9.78179E+12
Antiques Knock-Off,Barbara Allan,73.67,Kensington Publishing Corp.,240,"Fiction , Mystery , Detective , Cozy , General",9.78179E+12
Thrawn (Star Wars),Timothy Zahn,39.34,Del Rey,448,"Fiction , Action , Adventure",9.7818E+12
The Joker,Brian Azzarello,78.73,DC,130,General,9.7818E+12
Platform: Get Noticed in a Noisy World,Michael Hyatt,73.92,HarperCollins Leadership,288,General,9.7818E+12
The Guardians: A Novel,John Grisham,71.63,Doubleday,384,"Fiction , Thrillers , Suspense",9.7818E+12
Shantaram,Gregory David Roberts,55.1,Hachette UK,944,General,9.7818E+12
The Burning White: Book Five of Lightbringer,Brent Weeks,98.42,Hachette UK,640,"Fiction , Fantasy , General",9.7818E+12
Dead Silent,Shirley Wells,8.85,Harlequin,355,General,9.7818E+12
Platform Revolution: How Networked Markets Are Transforming the Economy—and How to Make Them Work for You,Geoffrey G. Parker,70.7,W. W. Norton & Company,256,"Business , Economics , New Business Enterprises",9.7818E+12
The Man in the High Castle,Philip K. Dick,55.17,Houghton Mifflin Harcourt,272,General,9.7818E+12
Total Control,David Baldacci,41.82,Pan Macmillan,624,"Fiction , Mystery , Detective , General",9.7818E+12
Shall We Tell the President?,Jeffrey Archer,41.82,Pan Macmillan,200,General,9.78181E+12
The Tower of the Swallow: Witcher 6,Andrzej Sapkowski,43.28,Hachette UK,400,General,9.78181E+12
Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,53.11,Abrams,224,General,9.78181E+12
Watching (The Making of Riley PaigeBook 1),Blake Pierce,30,Blake Pierce,250,"Fiction , Mystery , Detective , General",9.78181E+12
15 Delicious Slow Cooker Recipes,Sallie Stone,10,BookRix,18,General,9.78181E+12
Dark Age,Pierce Brown,71.63,Del Rey,800,General,9.78181E+12
Marvel Universe Vs. The Punisher: Volume 1,Jonathan Maberry,27.53,Marvel Entertainment,112,General,9.78181E+12
It,Stephen King,19.65,Simon and Schuster,1168,"Fiction , Horror",9.78181E+12
War and Peace: With bonus material from Give War and Peace A Chance by Andrew D. Kaufman,Leo Tolstoy,20,Simon and Schuster,1400,"Fiction , General",9.78181E+12
Find Me: A Novel,Andre Aciman,46.88,"Farrar, Straus and Giroux",272,"Fiction , LGBT , Gay",9.78181E+12
Dark Matter: A Novel,Blake Crouch,28.61,Broadway Books,368,"Fiction , Thrillers , Suspense",9.78182E+12
Spider-Man: Anti-Venom,Dan Slott,19.65,Marvel Entertainment,96,General,9.78182E+12
Kingdom Of Strangers,Zoe Ferraris,39.34,Hachette UK,368,General,9.78182E+12
In Dark Company: A Kate Burkholder Short Story,Linda Castillo,6.64,Minotaur Books,60,General,9.78182E+12
The Infinite Game,Simon Sinek,71.63,Penguin,272,"Business , Economics , Motivational",9.78182E+12
Freakonomics Rev Ed: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,88.69,Harper Collins,336,"Business , Economics , Economics , Theory",9.78182E+12
Kiss the Girls and Make Them Cry,Mary Higgins Clark,42.26,Simon and Schuster,400,General,9.78182E+12
"Awaken the Giant Within: How to Take Immediate Control of Your Mental, Emotional, Physical and Financial",Tony Robbins,55.09,Simon and Schuster,544,"Self-Help , Personal Growth , Success",9.78182E+12
The Eye of the World: Book One of 'The Wheel of Time',Robert Jordan,36.79,Tor Books,688,General,9.78182E+12
Selling 101: What Every Successful Sales Professional Needs to Know,Zig Ziglar,29.55,HarperCollins Leadership,112,General,9.78182E+12
Letting Go,David R. Hawkins,74.78,"Hay House, Inc",176,General,9.78183E+12
10 Ways to be annoying,James Fries,4.43,EDITORA BIBLIOMUNDI SERVIÇOS DIGITAIS LTDA,17,General,9.78183E+12
Final Option,Clive Cussler,71.63,Penguin,400,"Fiction , Thrillers , Suspense",9.78183E+12
Rogues,George R. R. Martin,52.54,Bantam,832,General,9.78183E+12
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,62.1,Random House,416,"Business , Economics , Organizational Behavior",9.78183E+12
The Mysterious Affair at Styles,Agatha Christie,8.7,HarperCollins UK,208,"Fiction , Thrillers , Military",9.78183E+12
Mighty Thor Vol. 2: Lords Of Midgard,Jason Aaron,66.91,Marvel Entertainment,160,"Comics , Graphic Novels , Superheroes",9.78183E+12
Mrs. Pollifax Unveiled,Dorothy Gilman,31.46,Ballantine Books,208,"Fiction , Mystery , Detective , Women Sleuths",9.78183E+12
Blue Moon: A Jack Reacher Novel,Lee Child,71.63,Dell,368,General,9.78183E+12
A Dance with Dragons: A Song of Ice and Fire: Book Five,George R. R. Martin,39.34,Bantam,1040,"Fiction , Action , Adventure",9.78183E+12
Home Work: A Memoir of My Hollywood Years,Julie Andrews,98.42,Hachette UK,352,General,9.78184E+12
Powerful Phrases for Dealing with Difficult People: Over 325 Ready-to-Use Words and Phrases for Working with Challenging Personalities,Renee Evenson,32.36,AMACOM,240,"Business , Economics , Conflict Resolution , Mediation",9.78184E+12
Green Lantern: Secret Origin,Geoff Johns,59.03,DC,194,General,9.78184E+12
And Then There Were General,Agatha Christie,32.1,HarperCollins UK,224,"Fiction , Classics",9.78184E+12
The Art of War (The Classic Lionel Giles Translation),Sun Tzu,4.17,e-artnow,80,"History , Military , General",9.78184E+12
Diabolical,Jana DeLeon,23.59,Jana DeLeon,360,General,9.78184E+12
Indistractable: How to Control Your Attention and Choose Your Life,Nir Eyal,69.24,Bloomsbury Publishing,400,General,9.78184E+12
The Secret,Rhonda Byrne,47.22,Simon and Schuster,216,"Self-Help , Personal Growth , Success",9.78184E+12
The Shadow Rising: Book Four of 'The Wheel of Time',Robert Jordan,33.42,Tor Books,704,"Fiction , Fantasy , Action , Adventure",9.78184E+12
Business Strategy (The Brian Tracy Success Library),Brian Tracy,38.33,AMACOM,112,General,9.78184E+12
Personal Success (The Brian Tracy Success Library),Brian Tracy,29.4,AMACOM,112,General,9.78185E+12
Getting Things Done: The Art of Stress-Free Productivity,David Allen,66.87,Penguin,352,"Self-Help , Self-Management , Time Management",9.78185E+12
Candide,Voltaire,11.78,Open Road Media,112,"Fiction , Literary",9.78185E+12
The Vagrant (The Vagrant Trilogy),Peter Newman,34.58,HarperCollins UK,416,"Fiction , Fantasy , Epic",9.78185E+12
"Mistborn Trilogy: The Final Empire, The Well of Ascension, The Hero of Ages",Brandon Sanderson,66.12,Tor Books,1712,"Fiction , Fantasy , Epic",9.78185E+12
Dork Diaries: Spectacular Superstar,Rachel Renee Russell,33.83,Simon and Schuster,368,"Juvenile Fiction , General",9.78185E+12
Batman vs. Superman: The Greatest Battles,Geoff Johns,39.34,DC,147,General,9.78185E+12
Immortal Hulk Vol. 1: Or Is He Both?,Al Ewing,35.41,Marvel Entertainment,128,"Comics , Graphic Novels , Superheroes",9.78185E+12
Her Royal Spyness,Rhys Bowen,31.46,Penguin,336,"Fiction , Mystery , Detective , Amateur Sleuth",9.78185E+12
Blood Runs Cold: A completely unputdownable mystery and suspense thriller,Dylan Young,11.21,Bookouture,350,"Fiction , Thrillers , Suspense",9.78185E+12
"The Lord of the Rings: The Fellowship of the Ring, The Two Towers, The Return of the King",J. R. R. Tolkien,81.87,HarperCollins UK,1216,"Fiction , Fairy Tales, Folk Tales, Legends , Mythology",9.78186E+12
The Walking Dead: Compendium 1,Robert Kirkman,157.49,"Image Comics, Inc.",28,General,9.78186E+12
"Mini Habits: Smaller Habits, Bigger Results",Stephen Guise,23.59,Selective Entertainment LLC,126,General,9.78186E+12
Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,46.85,Penguin UK,368,"Psychology , Neuropsychology",9.78186E+12
The Call of Cthulhu,H. P. Lovecraft,3.71,BookRix,49,"Fiction , Horror",9.78186E+12
Batman: Earth One,Geoff Johns,59.03,DC,146,General,9.78186E+12
Batman: Arkham Knight Vol. 3,Peter J. Tomasi,98.42,DC,200,General,9.78186E+12
The Essentials of Finance and Accounting for Nonfinancial Managers,Edward Fields,58.99,AMACOM,320,"Business , Economics , Budgeting",9.78186E+12
The Law of Success in Sixteen Lessons,Napoleon Hill,7.84,Simon and Schuster,547,General,9.78186E+12
Start Day Trading Now: A Quick and Easy Introduction to Making Money While Managing Your Risk,Michael Sincere,47.22,Simon and Schuster,224,General,9.78186E+12
Watchmen (2019 Edition),Alan Moore,98.42,DC Comics,448,General,9.78187E+12
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,51.16,Hachette UK,256,"Self-Help , General",9.78187E+12
The Queen of Nothing (The Folk of the Air #3),Holly Black,36.86,Bonnier Zaffre Ltd.,448,"Fiction , Fantasy , Dark Fantasy",9.78187E+12
Once Missed (A Riley Paige MysteryBook 16),Blake Pierce,31.47,Blake Pierce,250,"Fiction , Thrillers , Suspense",9.78187E+12
