title,author,price,publisher,page_count,generes,ISBN
How to Understand Business Finance: Edition 2,Bob Cinnamon,46.85,Kogan Page Publishers,176,"Business , Economics , Corporate Finance , General",9780750000000 
No Mercy: The brand new novel from the Queen of Crime,Martina Cole,98.42,Hachette UK,416,"Fiction , Crime",9781470000000 
The Weight of Honor (Kings and Sorcerers--Book 3),Morgan Rice,18.72,Morgan Rice,250,"Fiction , Science Fiction , General",9781630000000 
Crossroads of Twilight: Book Ten of 'The Wheel of Time',Robert Jordan,33.42,Tor Fantasy,704,General,9781430000000 
Batman: Year One,Frank Miller,59.03,DC,148,General,9781400000000 
How To Win Friends and Influence People,Dale Carnegie,51.15,Simon and Schuster,320,"Psychology , Interpersonal Relations",9781450000000 
Final Option: 'The best one yet',Clive Cussler,93.75,Penguin UK,400,"Fiction , Crime",9781410000000 
Heart and Brain: An Awkward Yeti Collection,The Awkward Yeti,33.14,Andrews McMeel Publishing,144,General,9781450000000 
Thirty-Five and a Half Conspiracies: Rose Gardner Mystery #8,Denise Grover Swank,15.19,DGS,350,General,9781940000000 
Rework,Jason Fried,71.63,Currency,288,"Business , Economics , Personal Success",9780310000000 
The Red Signal: An Agatha Christie Short Story,Agatha Christie,7.5,HarperCollins UK,40,"Fiction , Mystery , Detective , Hard-Boiled",9780010000000 
Dark Nights: Metal: Deluxe Edition: Issues 1-6,Scott Snyder,118.11,DC Comics,216,General,9781400000000 
How To Win Friends and Influence People,Dale Carnegie,51.15,Simon and Schuster,320,"Self-Help , Communication , Social Skills",9781450000000 
The Memoirs of Sherlock Holmes,Sir Arthur Conan Doyle,2.73,Courier Corporation,208,General,9780490000000 
"Shadowbred: The Twilight War, Book 1",Paul S. Kemp,27.53,Wizards of the Coast,352,"Fiction , Fantasy , Epic",9780790000000 
Permanent Record,Edward Snowden,49.58,Metropolitan Books,352,General,9781250000000 
The Marine's E-Mail Order Bride: Heroes of Chance Creek Volume 4,Cora Seton,15.72,One Acre Press,300,General,9781930000000 
Morning Star,Pierce Brown,62.1,Del Rey,544,General,9780350000000 
Now or Never: A Novel,Elizabeth Adler,31.46,Island Books,448,"Fiction , Mystery , Detective , Police Procedural",9780310000000 
Battle Sight Zero,Gerald Seymour,94.48,Hachette UK,448,"Fiction , Thrillers , Suspense",9781470000000 
Shattered Bonds,Faith Hunter,31.46,Penguin,400,"Fiction , Fantasy , Contemporary",9780400000000 
"Prince of Thorns (The Broken Empire, Book 1)",Mark Lawrence,24.94,HarperCollins UK,416,General,9780010000000 
"Rogue, Prisoner, Princess (Of Crowns and GloryBook 2)",Morgan Rice,14.96,Morgan Rice,250,General,9781630000000 
The Red Signal: An Agatha Christie Short Story,Agatha Christie,7.5,HarperCollins UK,40,"Fiction , Mystery , Detective , Cozy , General",9780010000000 
"Rogue, Prisoner, Princess (Of Crowns and GloryBook 2)",Morgan Rice,14.96,Morgan Rice,250,"Juvenile Fiction , Fantasy , Magic",9781630000000 
Predictably Irrational: The Hidden Forces that Shape Our Decisions,Dan Ariely,29.21,HarperCollins UK,304,General,9780010000000 
Twas The Nightshift Before Christmas: Festive hospital diaries from the author of million-copy hit This is Going to Hurt,Adam Kay,41.82,Pan Macmillan,112,General,9781530000000 
Death Masks,Jim Butcher,39.34,Penguin Group,464,General,9781100000000 
"The Power of Focus: How to Hit Your Business, Personal and Financial Targets with Confidence and Certainty",Jack Canfield,72.16,Random House,368,"Business , Economics , Personal Finance , General",9781450000000 
Think Like a Freak: The Authors of Freakonomics Offer to Retrain Your Brain,Steven D. Levitt,50.25,Harper Collins,304,General,9780060000000 
The Choice of Magic,Michael G. Manning,11.78,Michael Manning,408,General,9781940000000 
"The Complete Works of William Shakespeare: All 213 Plays, Poems, Sonnets, Apocryphal Plays + The Biography: The Life of William Shakespeare by Sidney Lee: Hamlet - Romeo and Juliet - King Lear - A Midsummer Night's Dream - Macbeth - The Tempest - Othello and many more",William Shakespeare,4.17,e-artnow,1424,"Drama , Shakespeare",9788030000000 
W is for Wasted: A Kinsey Millhone Novel,Sue Grafton,39.34,Penguin,448,General,9781100000000 
Auberon,James S. A. Corey,11.78,Hachette UK,112,General,9780360000000 
"Assassin's Apprentice (The Farseer Trilogy, Book 1)",Robin Hobb,26.51,HarperCollins UK,400,"Fiction , Fantasy , Dragons , Mythical Creatures",9780010000000 
"Captain Marvel Vol. 1: Higher, Further, Faster, More",Kelly Sue Deconnick,70.85,Marvel Entertainment,136,"Comics , Graphic Novels , Superheroes",9781300000000 
"The Name of the Wind: The Kingkiller Chronicle:, Book 1",Patrick Rothfuss,51.16,Hachette UK,672,"Fiction , Fantasy , Urban",9780580000000 
Captivate: The Science of Succeeding with People,Vanessa Van Edwards,66.87,Penguin,288,"Self-Help , Communication , Social Skills",9780400000000 
The Malady and Other Stories: An Andrzej Sapkowski Sampler,Andrzej Sapkowski,3.9,Hachette UK,96,General,9781470000000 
Kings and Sorcerers Bundle (Books 2 and 3),Morgan Rice,33.72,Morgan Rice,500,General,9781630000000 
Tall Tales and Wee Stories: The Best of Billy Connolly,Billy Connolly,98.42,Hachette UK,336,"Humor , General",9781530000000 
"Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time, Edition 3",Brian Tracy,62.82,Berrett-Koehler Publishers,144,General,9781630000000 
Antiques Con,Barbara Allan,29.9,Kensington Books,288,"Fiction , Mystery , Detective , Amateur Sleuth",9781620000000 
The Art Of Seduction,Robert Greene,74.99,Profile Books,272,General,9781850000000 
Maigret Goes to School,Georges Simenon,47.78,Penguin,176,"Fiction , Thrillers , Suspense",9781520000000 
"The Name of the Wind: The Kingkiller Chronicle:, Book 1",Patrick Rothfuss,51.16,Hachette UK,672,"Fiction , Fantasy , Epic",9780580000000 
A Trace of Vice (a Keri Locke Mystery--Book #3),Blake Pierce,18.72,Blake Pierce,250,General,9781640000000 
Antiques Chop,Barbara Allan,29.9,Kensington Books,240,"Fiction , Mystery , Detective , Private Investigators",9781620000000 
"Goals!: How to Get Everything You Want -- Faster Than You Ever Thought Possible, Edition 2",Brian Tracy,86.45,Berrett-Koehler Publishers,288,General,9781610000000 
Principles: Life and Work,Ray Dalio,59.03,Simon and Schuster,592,"Business , Economics , General",9781500000000 
Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,26.15,Kensington Publishing Corp.,288,General,9780760000000 
Ask A Footballer,James Milner,98.42,Hachette UK,320,"Sports , Recreation , Soccer",9781530000000 
Young Justice Vol. 1,Art Baltazar,39.34,DC,164,"Comics , Graphic Novels , Superheroes",9781400000000 
The Weight of Honor (Kings and Sorcerers--Book 3),Morgan Rice,18.72,Morgan Rice,250,"Juvenile Fiction , Fantasy , Magic",9781630000000 
10 Ways to be less consumerist,James Fries,4.43,EDITORA BIBLIOMUNDI SERVIÇOS DIGITAIS LTDA,15,General,9781530000000 
'Salem's Lot,Stephen King,55.1,Hachette UK,300,"Fiction , Thrillers , Supernatural",9781850000000 
Bring Me Back,B A Paris,30.71,HarperCollins UK,368,"Fiction , Mystery , Detective , International Mystery , Crime",9780010000000 
Management (The Brian Tracy Success Library),Brian Tracy,38.44,AMACOM,112,General,9780810000000 
Little Girl Lost: A Lucy Black Thriller,Brian McGilloway,35.44,Harper Collins,336,"Fiction , Thrillers , Suspense",9780060000000 
Strawberry Shortcake Murder,Joanne Fluke,43.36,Kensington Books,304,General,9781620000000 
Batman and Robin Vol. 1: Batman Reborn,Grant Morrison,59.03,DC,172,General,9781400000000 
Killer Blonde,Laura Levine,73.67,Kensington Books,288,"Fiction , Mystery , Detective , Amateur Sleuth",9780760000000 
The Black Box,Michael Connelly,43.28,Hachette UK,448,General,9781410000000 
Management (The Brian Tracy Success Library),Brian Tracy,38.44,AMACOM,112,"Business , Economics , General",9780810000000 
Legacy,Shannon Messenger,43.28,Simon and Schuster,816,"Juvenile Fiction , Fantasy , Magic",9781530000000 
